"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","Test Authentication","firefox","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
"","1223","has title","webkit","Thu Oct 16 22:55:25 WIB 2025","passed","Thu Oct 16 22:55:26 WIB 2025","","example.spec.ts","",""
"","64","Test Authentication","webkit","Thu Oct 16 22:55:26 WIB 2025","passed","Thu Oct 16 22:55:26 WIB 2025","","example.spec.ts","",""
"","56","Test Authentication as johndoe","chromium","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
"","46","Test Authentication2","webkit","Thu Oct 16 22:55:27 WIB 2025","passed","Thu Oct 16 22:55:27 WIB 2025","","example.spec.ts","",""
"","285","Test Authentication With Empty Login","webkit","Thu Oct 16 22:55:26 WIB 2025","passed","Thu Oct 16 22:55:27 WIB 2025","","example.spec.ts","",""
"","1503","Test Authentication With Empty Login","firefox","Thu Oct 16 22:55:25 WIB 2025","passed","Thu Oct 16 22:55:27 WIB 2025","","example.spec.ts","",""
"","2374","get started link","firefox","Thu Oct 16 22:31:28 WIB 2025","passed","Thu Oct 16 22:31:30 WIB 2025","","example.spec.ts","",""
"","2486","has title","firefox","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:26 WIB 2025","","example.spec.ts","",""
"","58","Test Authentication as johndoe","webkit","Thu Oct 16 22:55:26 WIB 2025","passed","Thu Oct 16 22:55:27 WIB 2025","","example.spec.ts","",""
"","66","Test Authentication as johndoe@example.com","webkit","Thu Oct 16 22:55:26 WIB 2025","passed","Thu Oct 16 22:55:27 WIB 2025","","example.spec.ts","",""
"","283","Test Authentication With Empty Login","chromium","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
"","63","Test Authentication as johndoe","firefox","Thu Oct 16 22:55:25 WIB 2025","passed","Thu Oct 16 22:55:25 WIB 2025","","example.spec.ts","",""
"","1891","get started link","webkit","Thu Oct 16 22:31:28 WIB 2025","passed","Thu Oct 16 22:31:30 WIB 2025","","example.spec.ts","",""
"","904","get started link","chromium","Thu Oct 16 22:31:28 WIB 2025","passed","Thu Oct 16 22:31:29 WIB 2025","","example.spec.ts","",""
"","57","Test Authentication as johndoe@example.com","chromium","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
"","51","Test Authentication2","chromium","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
"","72","Test Authentication2","firefox","Thu Oct 16 22:55:25 WIB 2025","passed","Thu Oct 16 22:55:25 WIB 2025","","example.spec.ts","",""
"","807","has title","chromium","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
"","67","Test Authentication as johndoe@example.com","firefox","Thu Oct 16 22:55:25 WIB 2025","passed","Thu Oct 16 22:55:25 WIB 2025","","example.spec.ts","",""
"","69","Test Authentication","chromium","Thu Oct 16 22:55:24 WIB 2025","passed","Thu Oct 16 22:55:24 WIB 2025","","example.spec.ts","",""
